"Number of plantations in Swiss forest"

"Year";"Forest zone";"Canton";"Type of owner";"Wood species";"Number of plantations"
"1975";"Southern Alps";"Schaffhausen";"Private forest";"Species - Total";0
"1975";"Southern Alps";"Schaffhausen";"Private forest";"Hardwood (deciduous)";0
"1975";"Southern Alps";"Schaffhausen";"Private forest";"Softwood (conifers)";0
"1975";"Southern Alps";"Schaffhausen";"Public forest";"Species - Total";0
"1975";"Southern Alps";"Schaffhausen";"Public forest";"Hardwood (deciduous)";0
"1975";"Southern Alps";"Schaffhausen";"Public forest";"Softwood (conifers)";0
"1975";"Southern Alps";"Appenzell Ausserrhoden";"Type of owners - Total";"Species - Total";0
"1975";"Southern Alps";"Appenzell Ausserrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"1975";"Southern Alps";"Appenzell Ausserrhoden";"Type of owners - Total";"Softwood (conifers)";0
"1975";"Southern Alps";"Appenzell Ausserrhoden";"Private forest";"Species - Total";0
"1975";"Southern Alps";"Appenzell Ausserrhoden";"Private forest";"Hardwood (deciduous)";0
"1975";"Southern Alps";"Appenzell Ausserrhoden";"Private forest";"Softwood (conifers)";0
"1975";"Southern Alps";"Appenzell Ausserrhoden";"Public forest";"Species - Total";0
"1975";"Southern Alps";"Appenzell Ausserrhoden";"Public forest";"Hardwood (deciduous)";0
"1975";"Southern Alps";"Appenzell Ausserrhoden";"Public forest";"Softwood (conifers)";0
"1975";"Southern Alps";"Appenzell Innerrhoden";"Type of owners - Total";"Species - Total";0
"1975";"Southern Alps";"Appenzell Innerrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"1975";"Southern Alps";"Appenzell Innerrhoden";"Type of owners - Total";"Softwood (conifers)";0
"1975";"Southern Alps";"Appenzell Innerrhoden";"Private forest";"Species - Total";0
"1975";"Southern Alps";"Appenzell Innerrhoden";"Private forest";"Hardwood (deciduous)";0
"1975";"Southern Alps";"Appenzell Innerrhoden";"Private forest";"Softwood (conifers)";0
"1975";"Southern Alps";"Appenzell Innerrhoden";"Public forest";"Species - Total";0
"1975";"Southern Alps";"Appenzell Innerrhoden";"Public forest";"Hardwood (deciduous)";0
"1975";"Southern Alps";"Appenzell Innerrhoden";"Public forest";"Softwood (conifers)";0
"1975";"Southern Alps";"St. Gallen";"Type of owners - Total";"Species - Total";0
"1975";"Southern Alps";"St. Gallen";"Type of owners - Total";"Hardwood (deciduous)";0
"1975";"Southern Alps";"St. Gallen";"Type of owners - Total";"Softwood (conifers)";0
"1975";"Southern Alps";"St. Gallen";"Private forest";"Species - Total";0
"1975";"Southern Alps";"St. Gallen";"Private forest";"Hardwood (deciduous)";0
"1975";"Southern Alps";"St. Gallen";"Private forest";"Softwood (conifers)";0
"1975";"Southern Alps";"St. Gallen";"Public forest";"Species - Total";0
"1975";"Southern Alps";"St. Gallen";"Public forest";"Hardwood (deciduous)";0
"1975";"Southern Alps";"St. Gallen";"Public forest";"Softwood (conifers)";0
"1975";"Southern Alps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Species - Total";47285
"1975";"Southern Alps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Hardwood (deciduous)";46785
"1975";"Southern Alps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Softwood (conifers)";500
"1975";"Southern Alps";"Graubünden / Grigioni / Grischun";"Private forest";"Species - Total";1910
"1975";"Southern Alps";"Graubünden / Grigioni / Grischun";"Private forest";"Hardwood (deciduous)";1910
"1975";"Southern Alps";"Graubünden / Grigioni / Grischun";"Private forest";"Softwood (conifers)";0
"1975";"Southern Alps";"Graubünden / Grigioni / Grischun";"Public forest";"Species - Total";45375
"1975";"Southern Alps";"Graubünden / Grigioni / Grischun";"Public forest";"Hardwood (deciduous)";44875
"1975";"Southern Alps";"Graubünden / Grigioni / Grischun";"Public forest";"Softwood (conifers)";500
"1975";"Southern Alps";"Thurgau";"Type of owners - Total";"Species - Total";0
"1975";"Southern Alps";"Thurgau";"Type of owners - Total";"Hardwood (deciduous)";0
"1975";"Southern Alps";"Thurgau";"Type of owners - Total";"Softwood (conifers)";0
"1975";"Southern Alps";"Thurgau";"Private forest";"Species - Total";0
"1975";"Southern Alps";"Thurgau";"Private forest";"Hardwood (deciduous)";0
"1975";"Southern Alps";"Thurgau";"Private forest";"Softwood (conifers)";0
"1975";"Southern Alps";"Thurgau";"Public forest";"Species - Total";0
"1975";"Southern Alps";"Thurgau";"Public forest";"Hardwood (deciduous)";0
"1975";"Southern Alps";"Thurgau";"Public forest";"Softwood (conifers)";0
"1976";"Switzerland";"Glarus";"Type of owners - Total";"Species - Total";143745
"1976";"Switzerland";"Glarus";"Type of owners - Total";"Hardwood (deciduous)";122555
"1976";"Switzerland";"Glarus";"Type of owners - Total";"Softwood (conifers)";21190
"1976";"Switzerland";"Glarus";"Private forest";"Species - Total";0
"1976";"Switzerland";"Glarus";"Private forest";"Hardwood (deciduous)";0
"1976";"Switzerland";"Glarus";"Private forest";"Softwood (conifers)";0
"1976";"Switzerland";"Glarus";"Public forest";"Species - Total";143745
"1976";"Switzerland";"Glarus";"Public forest";"Hardwood (deciduous)";122555
"1976";"Switzerland";"Glarus";"Public forest";"Softwood (conifers)";21190
"1976";"Switzerland";"Schaffhausen";"Type of owners - Total";"Species - Total";310590
"1976";"Switzerland";"Schaffhausen";"Type of owners - Total";"Hardwood (deciduous)";276915
"1976";"Switzerland";"Schaffhausen";"Type of owners - Total";"Softwood (conifers)";33675
"1976";"Switzerland";"Schaffhausen";"Private forest";"Species - Total";32130
"1976";"Switzerland";"Schaffhausen";"Private forest";"Hardwood (deciduous)";30330
"1976";"Switzerland";"Schaffhausen";"Private forest";"Softwood (conifers)";1800
"1976";"Switzerland";"Schaffhausen";"Public forest";"Species - Total";278460
"1976";"Switzerland";"Schaffhausen";"Public forest";"Hardwood (deciduous)";246585
"1976";"Switzerland";"Schaffhausen";"Public forest";"Softwood (conifers)";31875
"1976";"Switzerland";"Appenzell Ausserrhoden";"Type of owners - Total";"Species - Total";84736
"1976";"Switzerland";"Appenzell Ausserrhoden";"Type of owners - Total";"Hardwood (deciduous)";78069
"1976";"Switzerland";"Appenzell Ausserrhoden";"Type of owners - Total";"Softwood (conifers)";6667
"1976";"Switzerland";"Appenzell Ausserrhoden";"Private forest";"Species - Total";57222
"1976";"Switzerland";"Appenzell Ausserrhoden";"Private forest";"Hardwood (deciduous)";53485
"1976";"Switzerland";"Appenzell Ausserrhoden";"Private forest";"Softwood (conifers)";3737
"1976";"Switzerland";"Appenzell Ausserrhoden";"Public forest";"Species - Total";27514
"1976";"Switzerland";"Appenzell Ausserrhoden";"Public forest";"Hardwood (deciduous)";24584
"1976";"Switzerland";"Appenzell Ausserrhoden";"Public forest";"Softwood (conifers)";2930
"1976";"Switzerland";"Appenzell Innerrhoden";"Type of owners - Total";"Species - Total";48332
"1976";"Switzerland";"Appenzell Innerrhoden";"Type of owners - Total";"Hardwood (deciduous)";47755
"1976";"Switzerland";"Appenzell Innerrhoden";"Type of owners - Total";"Softwood (conifers)";577
"1976";"Switzerland";"Appenzell Innerrhoden";"Private forest";"Species - Total";22122
"1976";"Switzerland";"Appenzell Innerrhoden";"Private forest";"Hardwood (deciduous)";21605
"1976";"Switzerland";"Appenzell Innerrhoden";"Private forest";"Softwood (conifers)";517
"1976";"Switzerland";"Appenzell Innerrhoden";"Public forest";"Species - Total";26210
"1976";"Switzerland";"Appenzell Innerrhoden";"Public forest";"Hardwood (deciduous)";26150
"1976";"Switzerland";"Appenzell Innerrhoden";"Public forest";"Softwood (conifers)";60
"1976";"Switzerland";"St. Gallen";"Type of owners - Total";"Species - Total";683160
"1976";"Switzerland";"St. Gallen";"Type of owners - Total";"Hardwood (deciduous)";612335
"1976";"Switzerland";"St. Gallen";"Type of owners - Total";"Softwood (conifers)";70825
"1976";"Switzerland";"St. Gallen";"Private forest";"Species - Total";229531
"1976";"Switzerland";"St. Gallen";"Private forest";"Hardwood (deciduous)";211896
"1976";"Switzerland";"St. Gallen";"Private forest";"Softwood (conifers)";17635
"1976";"Switzerland";"St. Gallen";"Public forest";"Species - Total";453629
"1976";"Switzerland";"St. Gallen";"Public forest";"Hardwood (deciduous)";400439
"1976";"Switzerland";"St. Gallen";"Public forest";"Softwood (conifers)";53190
"1976";"Switzerland";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Species - Total";815401
"1976";"Switzerland";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Hardwood (deciduous)";734426
"1976";"Switzerland";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Softwood (conifers)";80975
"1976";"Switzerland";"Graubünden / Grigioni / Grischun";"Private forest";"Species - Total";14000
"1976";"Switzerland";"Graubünden / Grigioni / Grischun";"Private forest";"Hardwood (deciduous)";12665
"1976";"Switzerland";"Graubünden / Grigioni / Grischun";"Private forest";"Softwood (conifers)";1335
"1976";"Switzerland";"Graubünden / Grigioni / Grischun";"Public forest";"Species - Total";801401
"1976";"Switzerland";"Graubünden / Grigioni / Grischun";"Public forest";"Hardwood (deciduous)";721761
"1976";"Switzerland";"Graubünden / Grigioni / Grischun";"Public forest";"Softwood (conifers)";79640
"1976";"Switzerland";"Thurgau";"Type of owners - Total";"Species - Total";455740
"1976";"Switzerland";"Thurgau";"Type of owners - Total";"Hardwood (deciduous)";335100
"1976";"Switzerland";"Thurgau";"Type of owners - Total";"Softwood (conifers)";120640
"1976";"Switzerland";"Thurgau";"Private forest";"Species - Total";211425
"1976";"Switzerland";"Thurgau";"Private forest";"Hardwood (deciduous)";176925
"1976";"Switzerland";"Thurgau";"Private forest";"Softwood (conifers)";34500
"1976";"Switzerland";"Thurgau";"Public forest";"Species - Total";244315
"1976";"Switzerland";"Thurgau";"Public forest";"Hardwood (deciduous)";158175
"1976";"Switzerland";"Thurgau";"Public forest";"Softwood (conifers)";86140
"1976";"Jura";"Glarus";"Type of owners - Total";"Species - Total";0
"1976";"Jura";"Glarus";"Type of owners - Total";"Hardwood (deciduous)";0
"1976";"Jura";"Glarus";"Type of owners - Total";"Softwood (conifers)";0
"1976";"Jura";"Glarus";"Private forest";"Species - Total";0
"1976";"Jura";"Glarus";"Private forest";"Hardwood (deciduous)";0
"1976";"Jura";"Glarus";"Private forest";"Softwood (conifers)";0
"1976";"Jura";"Glarus";"Public forest";"Species - Total";0
"1976";"Jura";"Glarus";"Public forest";"Hardwood (deciduous)";0
"1976";"Jura";"Glarus";"Public forest";"Softwood (conifers)";0
"1976";"Jura";"Schaffhausen";"Type of owners - Total";"Species - Total";287940
"1976";"Jura";"Schaffhausen";"Type of owners - Total";"Hardwood (deciduous)";256715
"1976";"Jura";"Schaffhausen";"Type of owners - Total";"Softwood (conifers)";31225
"1976";"Jura";"Schaffhausen";"Private forest";"Species - Total";23280
"1976";"Jura";"Schaffhausen";"Private forest";"Hardwood (deciduous)";22730
"1976";"Jura";"Schaffhausen";"Private forest";"Softwood (conifers)";550
"1976";"Jura";"Schaffhausen";"Public forest";"Species - Total";264660
"1976";"Jura";"Schaffhausen";"Public forest";"Hardwood (deciduous)";233985
"1976";"Jura";"Schaffhausen";"Public forest";"Softwood (conifers)";30675
"1976";"Jura";"Appenzell Ausserrhoden";"Type of owners - Total";"Species - Total";0
"1976";"Jura";"Appenzell Ausserrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"1976";"Jura";"Appenzell Ausserrhoden";"Type of owners - Total";"Softwood (conifers)";0
"1976";"Jura";"Appenzell Ausserrhoden";"Private forest";"Species - Total";0
"1976";"Jura";"Appenzell Ausserrhoden";"Private forest";"Hardwood (deciduous)";0
"1976";"Jura";"Appenzell Ausserrhoden";"Private forest";"Softwood (conifers)";0
"1976";"Jura";"Appenzell Ausserrhoden";"Public forest";"Species - Total";0
"1976";"Jura";"Appenzell Ausserrhoden";"Public forest";"Hardwood (deciduous)";0
"1976";"Jura";"Appenzell Ausserrhoden";"Public forest";"Softwood (conifers)";0
"1976";"Jura";"Appenzell Innerrhoden";"Type of owners - Total";"Species - Total";0
"1976";"Jura";"Appenzell Innerrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"1976";"Jura";"Appenzell Innerrhoden";"Type of owners - Total";"Softwood (conifers)";0
"1976";"Jura";"Appenzell Innerrhoden";"Private forest";"Species - Total";0
"1976";"Jura";"Appenzell Innerrhoden";"Private forest";"Hardwood (deciduous)";0
"1976";"Jura";"Appenzell Innerrhoden";"Private forest";"Softwood (conifers)";0
"1976";"Jura";"Appenzell Innerrhoden";"Public forest";"Species - Total";0
"1976";"Jura";"Appenzell Innerrhoden";"Public forest";"Hardwood (deciduous)";0
"1976";"Jura";"Appenzell Innerrhoden";"Public forest";"Softwood (conifers)";0
"1976";"Jura";"St. Gallen";"Type of owners - Total";"Species - Total";0
"1976";"Jura";"St. Gallen";"Type of owners - Total";"Hardwood (deciduous)";0
"1976";"Jura";"St. Gallen";"Type of owners - Total";"Softwood (conifers)";0
"1976";"Jura";"St. Gallen";"Private forest";"Species - Total";0
"1976";"Jura";"St. Gallen";"Private forest";"Hardwood (deciduous)";0
"1976";"Jura";"St. Gallen";"Private forest";"Softwood (conifers)";0
"1976";"Jura";"St. Gallen";"Public forest";"Species - Total";0
"1976";"Jura";"St. Gallen";"Public forest";"Hardwood (deciduous)";0
"1976";"Jura";"St. Gallen";"Public forest";"Softwood (conifers)";0
"1976";"Jura";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Species - Total";0
"1976";"Jura";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Hardwood (deciduous)";0
"1976";"Jura";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Softwood (conifers)";0
"1976";"Jura";"Graubünden / Grigioni / Grischun";"Private forest";"Species - Total";0
"1976";"Jura";"Graubünden / Grigioni / Grischun";"Private forest";"Hardwood (deciduous)";0
"1976";"Jura";"Graubünden / Grigioni / Grischun";"Private forest";"Softwood (conifers)";0
"1976";"Jura";"Graubünden / Grigioni / Grischun";"Public forest";"Species - Total";0
"1976";"Jura";"Graubünden / Grigioni / Grischun";"Public forest";"Hardwood (deciduous)";0
"1976";"Jura";"Graubünden / Grigioni / Grischun";"Public forest";"Softwood (conifers)";0
"1976";"Jura";"Thurgau";"Type of owners - Total";"Species - Total";0
"1976";"Jura";"Thurgau";"Type of owners - Total";"Hardwood (deciduous)";0
"1976";"Jura";"Thurgau";"Type of owners - Total";"Softwood (conifers)";0
"1976";"Jura";"Thurgau";"Private forest";"Species - Total";0
"1976";"Jura";"Thurgau";"Private forest";"Hardwood (deciduous)";0
"1976";"Jura";"Thurgau";"Private forest";"Softwood (conifers)";0
"1976";"Jura";"Thurgau";"Public forest";"Species - Total";0
"1976";"Jura";"Thurgau";"Public forest";"Hardwood (deciduous)";0
"1976";"Jura";"Thurgau";"Public forest";"Softwood (conifers)";0
"1976";"Central Plain";"Glarus";"Type of owners - Total";"Species - Total";0
"1976";"Central Plain";"Glarus";"Type of owners - Total";"Hardwood (deciduous)";0
"1976";"Central Plain";"Glarus";"Type of owners - Total";"Softwood (conifers)";0
"1976";"Central Plain";"Glarus";"Private forest";"Species - Total";0
"1976";"Central Plain";"Glarus";"Private forest";"Hardwood (deciduous)";0
"1976";"Central Plain";"Glarus";"Private forest";"Softwood (conifers)";0
"1976";"Central Plain";"Glarus";"Public forest";"Species - Total";0
"1976";"Central Plain";"Glarus";"Public forest";"Hardwood (deciduous)";0
"1976";"Central Plain";"Glarus";"Public forest";"Softwood (conifers)";0
"1976";"Central Plain";"Schaffhausen";"Type of owners - Total";"Species - Total";22650
"1976";"Central Plain";"Schaffhausen";"Type of owners - Total";"Hardwood (deciduous)";20200
"1976";"Central Plain";"Schaffhausen";"Type of owners - Total";"Softwood (conifers)";2450
"1976";"Central Plain";"Schaffhausen";"Private forest";"Species - Total";8850
"1976";"Central Plain";"Schaffhausen";"Private forest";"Hardwood (deciduous)";7600
"1976";"Central Plain";"Schaffhausen";"Private forest";"Softwood (conifers)";1250
"1976";"Central Plain";"Schaffhausen";"Public forest";"Species - Total";13800
"1976";"Central Plain";"Schaffhausen";"Public forest";"Hardwood (deciduous)";12600
"1976";"Central Plain";"Schaffhausen";"Public forest";"Softwood (conifers)";1200
"1976";"Central Plain";"Appenzell Ausserrhoden";"Type of owners - Total";"Species - Total";0
"1976";"Central Plain";"Appenzell Ausserrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"1976";"Central Plain";"Appenzell Ausserrhoden";"Type of owners - Total";"Softwood (conifers)";0
"1976";"Central Plain";"Appenzell Ausserrhoden";"Private forest";"Species - Total";0
"1976";"Central Plain";"Appenzell Ausserrhoden";"Private forest";"Hardwood (deciduous)";0
"1976";"Central Plain";"Appenzell Ausserrhoden";"Private forest";"Softwood (conifers)";0
"1976";"Central Plain";"Appenzell Ausserrhoden";"Public forest";"Species - Total";0
"1976";"Central Plain";"Appenzell Ausserrhoden";"Public forest";"Hardwood (deciduous)";0
"1976";"Central Plain";"Appenzell Ausserrhoden";"Public forest";"Softwood (conifers)";0
"1976";"Central Plain";"Appenzell Innerrhoden";"Type of owners - Total";"Species - Total";0
"1976";"Central Plain";"Appenzell Innerrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"1976";"Central Plain";"Appenzell Innerrhoden";"Type of owners - Total";"Softwood (conifers)";0
"1976";"Central Plain";"Appenzell Innerrhoden";"Private forest";"Species - Total";0
"1976";"Central Plain";"Appenzell Innerrhoden";"Private forest";"Hardwood (deciduous)";0
"1976";"Central Plain";"Appenzell Innerrhoden";"Private forest";"Softwood (conifers)";0
"1976";"Central Plain";"Appenzell Innerrhoden";"Public forest";"Species - Total";0
"1976";"Central Plain";"Appenzell Innerrhoden";"Public forest";"Hardwood (deciduous)";0
"1976";"Central Plain";"Appenzell Innerrhoden";"Public forest";"Softwood (conifers)";0
"1976";"Central Plain";"St. Gallen";"Type of owners - Total";"Species - Total";253529
"1976";"Central Plain";"St. Gallen";"Type of owners - Total";"Hardwood (deciduous)";225509
"1976";"Central Plain";"St. Gallen";"Type of owners - Total";"Softwood (conifers)";28020
"1976";"Central Plain";"St. Gallen";"Private forest";"Species - Total";135829
