"Number of plantations in Swiss forest"

"Year";"Forest zone";"Canton";"Type of owner";"Wood species";"Number of plantations"
"1975";"Alps";"Graubünden / Grigioni / Grischun";"Private forest";"Hardwood (deciduous)";9190
"1975";"Alps";"Graubünden / Grigioni / Grischun";"Private forest";"Softwood (conifers)";950
"1975";"Alps";"Graubünden / Grigioni / Grischun";"Public forest";"Species - Total";831889
"1975";"Alps";"Graubünden / Grigioni / Grischun";"Public forest";"Hardwood (deciduous)";757034
"1975";"Alps";"Graubünden / Grigioni / Grischun";"Public forest";"Softwood (conifers)";74855
"1975";"Alps";"Thurgau";"Type of owners - Total";"Species - Total";0
"1975";"Alps";"Thurgau";"Type of owners - Total";"Hardwood (deciduous)";0
"1975";"Alps";"Thurgau";"Type of owners - Total";"Softwood (conifers)";0
"1975";"Alps";"Thurgau";"Private forest";"Species - Total";0
"1975";"Alps";"Thurgau";"Private forest";"Hardwood (deciduous)";0
"1975";"Alps";"Thurgau";"Private forest";"Softwood (conifers)";0
"1975";"Alps";"Thurgau";"Public forest";"Species - Total";0
"1975";"Alps";"Thurgau";"Public forest";"Hardwood (deciduous)";0
"1975";"Alps";"Thurgau";"Public forest";"Softwood (conifers)";0
"1975";"Southern Alps";"Glarus";"Type of owners - Total";"Species - Total";0
"1975";"Southern Alps";"Glarus";"Type of owners - Total";"Hardwood (deciduous)";0
"1975";"Southern Alps";"Glarus";"Type of owners - Total";"Softwood (conifers)";0
"1975";"Southern Alps";"Glarus";"Private forest";"Species - Total";0
"1975";"Southern Alps";"Glarus";"Private forest";"Hardwood (deciduous)";0
"1975";"Southern Alps";"Glarus";"Private forest";"Softwood (conifers)";0
"1975";"Southern Alps";"Glarus";"Public forest";"Species - Total";0
"1975";"Southern Alps";"Glarus";"Public forest";"Hardwood (deciduous)";0
"1975";"Southern Alps";"Glarus";"Public forest";"Softwood (conifers)";0
"1975";"Southern Alps";"Schaffhausen";"Type of owners - Total";"Species - Total";0
"1975";"Southern Alps";"Schaffhausen";"Type of owners - Total";"Hardwood (deciduous)";0
"1975";"Southern Alps";"Schaffhausen";"Type of owners - Total";"Softwood (conifers)";0
